,MAPE (%)
226,0.9804786191550858
227,1.0741829553353703
228,1.1020291401893056
229,1.145938554846066
230,1.0634741676520925
231,1.02830613406586
232,1.0445801217035537
233,1.0681873053557303
234,1.0284816320545993
235,0.9972322611046127
236,0.9736626287104512
237,1.0390480578143104
238,1.1140234869888241
239,1.301450891196909
240,1.5299833488059085
241,1.6390087852962885
242,1.775014648908652
243,1.9166141929271587
244,2.0590076120532492
245,2.2154269335960666
246,2.2757231875222703
247,2.1642795346256234
248,1.8770062599150692
249,1.5065916321427404
250,1.3663815718004917
251,1.267003167412209
252,1.2276273050208377
253,1.1871277120468513
254,1.1622207422932367
255,1.1826173404609075
256,1.1355100921811694
257,1.1577186601102882
258,1.198203948722132
259,1.2721926047340677
260,1.2940239515407508
261,1.2179278158716196
262,1.2313598564466919
263,1.2396034400732852
264,1.264660088276443
265,1.3146558277206697
266,1.4081646829470162
267,1.4937092129963148
268,1.538620252023697
269,1.4060651485008675
270,1.2488461455240183
271,1.1433992181667407
272,1.0233174464781263
273,0.9394929033418424
274,0.8948771997280305
275,0.9024629931081971
276,0.9046725693756336
277,0.9336728838333659
278,0.9339062826883149
279,1.0482054938085745
280,1.1096552690499126
281,1.0974683982419577
282,1.089291358053392
283,1.0839060399260467
284,1.0939717371802287
285,1.0843278255907178
286,1.118558077693064
287,1.113031794428588
288,1.1206368744772055
289,1.0229330624664985
290,0.8858136347739197
291,0.7392924897852717
292,0.7526338735328603
293,0.7922499948166468
294,0.8045728637648535
295,0.8549363394713615
296,0.8996415673406217
297,0.8436132659318809
298,0.8656163685709505
299,0.9006695373345787
300,0.9131426070931274
301,0.926835124052046
302,0.9194483800028344
303,0.971053242390162
304,0.9898892599291143
305,1.0169160062642746
306,1.067951090688659
307,1.2299180313949518
308,1.3302832375708487
309,1.4289925464088558
310,1.5742120811762759
311,1.7485727027950566
312,1.9615523716107217
313,2.181820692405105
314,2.4516082328492055
315,2.740258854486617
316,2.991964700377732
317,3.123534552224973
318,3.1626020320953283
319,3.2251882667434115
320,3.2936686181813397
321,3.096851323690904
322,3.0930090792695535
323,3.0791301417650425
324,2.9848387686977103
325,2.8984776405592685
326,3.035362244581123
327,3.140906361808262
328,3.2552710152047366
329,3.2737374917588142
330,3.2737096156698073
331,3.268820455881452
332,3.247210858967977
333,3.2513515250910183
334,3.3356515284307053
335,3.377336552979545
336,3.4874205061716874
337,3.42596176051492
338,3.402641069852573
339,3.450465385388225
340,3.5610185074659593
341,3.66638303287156
342,3.743418382675787
343,3.5957086734475627
344,3.395628962650686
345,2.9494005937972454
346,2.720943055238311
347,2.5337555581306788
348,2.3665877899025785
349,2.171722109959405
350,2.1061400997049167
351,1.9665566729856958
352,1.7557937029202977
353,1.624725974423212
354,1.4139766692044642
355,1.2155604029049523
356,1.2011101808823488
357,1.3513859645925366
358,1.459918447233542
359,1.5857560917448368
360,1.7752850279753853
361,1.996376858346792
362,2.2326779858221597
363,2.478703085720435
364,2.7233766635562393
365,2.93130980395133
366,3.0560343815508557
367,3.047806026074756
368,2.9749372905117792
369,2.720783437468879
370,2.6486918899930725
371,2.6048872415210944
372,2.594406995013486
373,2.67650740268902
374,2.693272699900224
375,2.7737961801488376
376,2.818515949319372
377,2.861174376116921
378,2.911037025886821
